fqn,db,name,approx_rows,cols,metric_like,impl_n,concept_n,primary_n,uncovered_n,uncovered_sample,status,empty
ads.ads_action_page_funnel_d,ads,ads_action_page_funnel_d,47477252,12,6,7,7,7,0,,已挂,False
ads.ads_ad_click_user_daily_d,ads,ads_ad_click_user_daily_d,2794783,8,6,0,0,0,6,"history_click_user_ids,today_click_user_ids,history_click_device_ids,today_click_device_ids,new_first_click_user_cnt,new_first_click_device_cnt",未挂,False
ads.ads_ad_sdk_summary,ads,ads_ad_sdk_summary,4479582,7,3,0,0,0,3,"click_num,exposure_num,update_ts",未挂,False
ads.ads_ad_space_summary_d,ads,ads_ad_space_summary_d,6161631,10,6,7,7,7,0,,已挂,False
ads.ads_ad_space_summary_realtime_d,ads,ads_ad_space_summary_realtime_d,0,9,6,0,0,0,6,"exposure_pv,exposure_uv,expose_ip_num,click_pv,click_uv,click_ip_num",未挂,True
ads.ads_ad_summary_d,ads,ads_ad_summary_d,72166091,11,6,0,0,0,6,"exposure_pv,exposure_uv,expose_ip_num,click_pv,click_uv,click_ip_num",未挂,False
ads.ads_ad_summary_realtime_d,ads,ads_ad_summary_realtime_d,0,10,6,0,0,0,6,"exposure_pv,exposure_uv,expose_ip_num,click_pv,click_uv,click_ip_num",未挂,True
ads.ads_app_active_summary,ads,ads_app_active_summary,837,3,2,2,2,2,0,,已挂,False
ads.ads_app_event_data_field_err_stats_d,ads,ads_app_event_data_field_err_stats_d,837732,6,1,0,0,0,1,num,未挂,False
ads.ads_app_event_data_quality_summary_d,ads,ads_app_event_data_quality_summary_d,1149024,5,2,0,0,0,2,"num,error_num",未挂,False
ads.ads_app_event_statics_h,ads,ads_app_event_statics_h,786093,4,1,0,0,0,1,num,未挂,False
ads.ads_app_fake_register_d_d,ads,ads_app_fake_register_d_d,18976,33,23,0,0,0,23,"hit_rule_cnt,reg_uid,susp_uid,susp_rate,confidence,r1_burst_uid,r4_ipdom_uid,r3_lbburst_uid,r2_farm_uid,ip_cnt",未挂,False
ads.ads_app_info,ads,ads_app_info,1020,19,3,0,0,0,3,"status,enable_signature,ai_ratio",未挂,False
ads.ads_app_metrics_daily_d,ads,ads_app_metrics_daily_d,175556,50,48,31,31,31,22,"new_reg_ids,new_reg_channel_ids,new_reg_nature_ids,new_reg_ios_ids,new_reg_android_ids,new_reg_pc_ids,new_reg_other_ids,login_all_ids,login_ios_ids,login_android_ids",部分挂,False
