app_id,shadow_cnt,live_cnt,diff
HX-001,2587,2865,-278
JHG-049,746,469,277
DX-015,640,895,-255
HX-003,1276,1477,-201
JHA-056,373,213,160
JHG-028,386,227,159
JHG-038,310,155,155
YC-159,391,258,133
JHG-001,639,515,124
JHG-029,263,161,102
JHG-021,274,183,91
JHA-017,1154,1241,-87
JHA-102,693,777,-84
JHA-027,1774,1851,-77
JHG-036,141,75,66
DX-091,606,541,65
JHG-025,205,148,57
JHA-124,587,643,-56
JHA-063,744,792,-48
YC-123,294,250,44
YC-003,1360,1317,43
JHA-123,375,415,-40
JHG-014,257,219,38
JHG-017,134,169,-35
JHG-047,68,36,32
JHG-034,347,316,31
YC-002,1459,1485,-26
YC-001,1056,1031,25
JHA-103,267,291,-24
-,0,21,-21
JHA-069,733,753,-20
JHG-024,135,116,19
DX-030,420,402,18
HX-021,596,614,-18
JHA-110,249,266,-17
DX-037,329,345,-16
JHA-126,512,528,-16
JHA-204,1321,1333,-12
JHG-005,418,407,11
JHG-013,242,231,11
JHG-037,258,247,11
DX-105,252,262,-10
JHG-002,25,15,10
JHG-022,193,183,10
JHG-050,120,110,10
HX-002,436,445,-9
HX-016,183,192,-9
JHG-042,138,129,9
JHG-043,94,85,9
JHG-064,274,265,9
JHG-046,58,50,8
DX-055,202,209,-7
JHA-031,560,553,7
YC-122,428,421,7
DX-118,74,68,6
HX-009,524,530,-6
JHA-059,256,262,-6
JHA-062,21,27,-6
JHG-052,476,470,6
JHG-058,476,470,6
YC-116,259,253,6
YC-121,574,580,-6
DX-007,170,175,-5
DX-043,308,313,-5
DX-052,172,177,-5
JHA-117,273,278,-5
JHG-006,382,377,5
YC-115,198,193,5
YC-201,52,47,5
DX-001,110,114,-4
DX-092,281,285,-4
JHG-003,12,8,4
SF-55,231,227,4
DX-004,41,38,3
DX-036,391,394,-3
DX-038,43,46,-3
HX-022,78,81,-3
HX-024,209,212,-3
JHA-076,58,55,3
JHA-077,52,55,-3
JHA-089,56,59,-3
JHG-020,47,44,3
SF-15,184,181,3
SF-62,357,354,3
SF-97,279,276,3
TJ-002,12,9,3
YC-107,144,141,3
YC-169,472,475,-3
DX-002,226,224,2
DX-009,29,27,2
DX-010,52,50,2
DX-025,44,42,2
DX-026,70,72,-2
DX-079,47,45,2
DX-094,166,164,2
HX-006,42,44,-2
HX-017,51,53,-2
HX-018,294,296,-2
HX-026,80,82,-2
JHA-119,22,24,-2
JHA-157,263,265,-2
JHA-502,280,282,-2
JHG-004,175,173,2
JHG-007,31,29,2
JHG-008,73,71,2
JHG-045,127,125,2
JHG-055,15,13,2
JHG-059,428,426,2
JHG-080,110,108,2
JHG-087,5,3,2
JHG-091,50,48,2
SF-134,171,169,2
SF-143,251,249,2
SF-24,60,58,2
SF-43,362,360,2
SF-50,440,438,2
SF-53,237,235,2
SF-59,279,277,2
SF-60,298,296,2
SF-61,267,265,2
SF-66,451,449,2
SF-67,291,289,2
SF-72,342,340,2
SF-81,348,346,2
SF-89,156,154,2
SF-93,141,139,2
SF-96,248,246,2
TJ-043,3,1,2
TJ-063,14,12,2
YC-108,153,151,2
YC-149,99,97,2
YC-164,150,152,-2
YC-171,127,129,-2
111,2,1,1
DFB-01,28,27,1
DX-003,218,219,-1
DX-006,0,1,-1
DX-011,10,11,-1
DX-024,44,43,1
DX-031,6,5,1
DX-033,26,25,1
DX-053,21,22,-1
DX-059,10,9,1
DX-078,68,67,1
DX-106,39,38,1
DX-115,10,9,1
DX-125,133,132,1
DX-126,127,126,1
DX-128,3,2,1
DX-146,103,102,1
HX-015,91,92,-1
HX-030,21,22,-1
HX-035,352,353,-1
HX-036,31,32,-1
HX-038,15,16,-1
HX-039,18,19,-1
HX-056,20,21,-1
HX-057,38,37,1
JHA-058,137,136,1
JHA-066,144,143,1
JHA-067,386,387,-1
JHA-068,39,38,1
JHA-078,27,26,1
JHA-096,47,46,1
JHA-129,63,62,1
JHA-160,455,454,1
JHA-161,7,6,1
JHA-205,313,314,-1
JHG-010,14,13,1
JHG-015,56,55,1
JHG-016,636,637,-1
JHG-048,12,11,1
JHG-051,21,20,1
JHG-057,10,9,1
JHG-061,43,42,1
JHG-069,18,17,1
JHG-070,124,123,1
JHG-082,88,87,1
JHG-092,90,89,1
JHG-110,7,6,1
JHGXN-096,15,14,1
JHGXN-112,2,1,1
JHGXN-115,2,1,1
SC-03,7,6,1
SC-04,3,2,1
SC-06,3,2,1
SC-10,2,1,1
SC-12,10,9,1
SC-19,2,1,1
SF-01,362,361,1
SF-02,369,368,1
SF-05,292,291,1
SF-07,158,157,1
SF-08,165,164,1
SF-10,36,35,1
SF-104,309,308,1
SF-106,353,354,-1
SF-114,117,116,1
SF-120,34,33,1
SF-126,186,185,1
SF-128,140,139,1
SF-131,203,202,1
SF-168,2,1,1
SF-171,5,4,1
SF-20,254,253,1
SF-36,270,269,1
SF-39,281,280,1
SF-42,499,498,1
SF-51,167,166,1
SF-52,152,151,1
SF-54,273,272,1
SF-63,325,324,1
SF-65,358,357,1
SF-69,342,341,1
SF-71,444,443,1
SF-74,293,292,1
SF-75,233,232,1
SF-80,121,120,1
SF-84,49,48,1
SF-90,135,134,1
SF-91,143,142,1
SF-94,218,217,1
SF-95,267,266,1
SF-98,273,272,1
SF-99,4,3,1
TJ-001,2,1,1
TJ-039,2,1,1
TJ-040,2,1,1
TJ-046,2,1,1
TJ-054,2,1,1
TRFB-008,42,43,-1
TRFB-010,15,14,1
TSPX-027,22,23,-1
TSPX-028,23,22,1
TSYH-001,259,258,1
TSYH-007,2,3,-1
WYYL-002,11,10,1
WYYL-102,2,1,1
YC-106,274,273,1
YC-109,193,192,1
YC-141,18,17,1
YC-143,111,110,1
YC-152,100,99,1
YC-155,75,74,1
YC-160,133,134,-1
YC-161,228,229,-1
YC-162,13,12,1
YC-170,351,352,-1
YC-178,114,113,1
YC-202,9,8,1
YCXN-001,14,13,1
YDWD-001,218,217,1
YDWD-003,249,248,1
!(()&&!|*|*|,1,1,0
""";print(md5(31337));$a=""",1,1,0
${10000241+9999110},1,1,0
${9999890+9999144},1,1,0
${@print(md5(31337))},1,1,0
${@print(md5(31337))}\\,1,1,0
"'""()",1,1,0
'.print(md5(31337)).',1,1,0
';print(md5(31337));$a=',1,1,0
"'{""",1,1,0
(select 198766*667891 from DUAL),1,1,0
(select 198766*667891),1,1,0
),1,1,0
../YC-002,1,1,0
/etc/shells,1,1,0
1E2C7GPY0,1,1,0
7nlKyZN9: 2abtTDH0,1,1,0
9T-2JQM,1,1,0
<!--,1,1,0
@@B0Jvh,1,1,0
@@EOP65,1,1,0
BASE-001,5,5,0
BF-004,2,2,0
BF-005,60,60,0
DFA-01,4,4,0
DFA-03,166,166,0
DFA-04,1,1,0
DX-005,4,4,0
DX-012,1,1,0
DX-013,11,11,0
DX-027,1290,1290,0
DX-032,1,1,0
DX-042,49,49,0
DX-051,9,9,0
DX-056,1,1,0
DX-060,11,11,0
DX-076,1,1,0
DX-084,806,806,0
DX-085,54,54,0
DX-086,30,30,0
DX-087,47,47,0
DX-093,113,113,0
DX-095,5,5,0
DX-097,26,26,0
DX-098,21,21,0
DX-147,5,5,0
DX-151,7,7,0
FHL-5R8,7,7,0
HX-000,1,1,0
HX-004,9,9,0
HX-005,16,16,0
HX-007,8,8,0
HX-008,8,8,0
HX-010,24,24,0
HX-011,18,18,0
HX-012,8,8,0
HX-013,29,29,0
HX-014,5,5,0
HX-019,16,16,0
HX-020,34,34,0
HX-023,20,20,0
HX-025,6,6,0
HX-027,33,33,0
HX-028,14,14,0
HX-029,5,5,0
HX-031,2,2,0
HX-032,16,16,0
HX-034,4,4,0
HX-037,6,6,0
HX-040,13,13,0
HX-042,3,3,0
HX-043,4,4,0
HX-044,3,3,0
HX-045,7,7,0
HX-046,33,33,0
HX-047,192,192,0
HX-048,8,8,0
HX-049,2,2,0
HX-050,6,6,0
HX-051,48,48,0
HX-054,4,4,0
