date_key,app_id,channel,s_deduction_download_num,l_deduction_download_num,s_deduction_new_user,l_deduction_new_user,s_deduction_recharge_amount,l_deduction_recharge_amount,s_deduction_install_num,l_deduction_install_num,s_download_num,l_download_num,s_new_user,l_new_user,s_recharge_amount,l_recharge_amount,s_coin_recharge_amount,l_coin_recharge_amount,s_install_num,l_install_num,s_pay_user_num,l_pay_user_num
2026-09-02 00:00:00,JHGXN-096,0aCpt4Il,0,0,0,1,0,0,0,0,0,0,0,1,0.000000,0.000000,6600.000000,6600.000000,0,0,0,0
2026-09-02 00:00:00,JHGXN-096,gkiujoqh,79,79,2,2,0,0,50,49,79,79,14,15,0.000000,0.000000,0.000000,0.000000,50,49,0,0
2026-09-02 00:00:00,JHGXN-096,obmqulgq,28,28,1,1,0,0,13,12,28,28,3,2,0.000000,0.000000,0.000000,0.000000,13,12,0,0
2026-09-02 00:00:00,HX-010,hhgznb001,0,0,3,3,0,0,11,12,0,0,3,3,0.000000,0.000000,0.000000,0.000000,11,12,0,0
2026-09-02 00:00:00,HX-010,hhgzo004,0,0,0,0,0,0,2,3,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2,3,0,0
2026-09-02 00:00:00,HX-010,hhthyj001,0,0,0,0,0,0,1,2,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,2,0,0
2026-09-02 00:00:00,HX-010,organic,0,0,90,90,0,0,3,0,0,0,90,90,0.000000,0.000000,0.000000,0.000000,3,0,0,0
2026-09-02 00:00:00,DX-094,OLBC64tD,139,139,56,57,0,0,54,56,139,139,56,57,0.000000,0.000000,0.000000,0.000000,54,56,0,0
2026-09-02 00:00:00,DX-094,kjr9N1zi,2219,2219,341,341,10000,10000,940,941,2219,2219,961,960,10000.000000,10000.000000,30000.000000,30000.000000,940,941,2,2
2026-09-02 00:00:00,DX-094,ug-17sedaohang-sns,16,16,0,6,0,0,0,5,16,16,0,6,0.000000,0.000000,0.000000,0.000000,0,5,0,0
2026-09-02 00:00:00,DX-094,ug-dycgw,0,0,0,0,0,0,1,2,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,2,0,0
2026-09-02 00:00:00,SF-171,5HTNEYWT,0,0,0,0,0,0,6,7,0,0,0,0,0.000000,0.000000,0.000000,0.000000,6,7,0,0
2026-09-02 00:00:00,JHG-041,ktjh02,0,0,21,21,0,0,2,0,0,0,21,21,0.000000,0.000000,0.000000,0.000000,2,0,0,0
2026-09-02 00:00:00,JHG-041,qzmfcpnt,13,13,11,10,0,0,15,18,13,13,11,10,0.000000,0.000000,0.000000,0.000000,15,18,0,0
2026-09-02 00:00:00,JHG-008,kk10,0,0,252,251,0,0,0,0,0,0,252,251,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 00:00:00,JHG-008,sjzmq03,0,0,21,20,0,0,0,0,0,0,21,20,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 00:00:00,JHG-008,sjzmq04,0,0,2,1,0,0,0,0,0,0,2,1,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 00:00:00,JHG-008,sjzmq05,0,0,2,1,0,0,0,0,0,0,2,1,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 00:00:00,JHG-008,ytrehuo11,0,0,2,1,0,0,0,0,0,0,2,1,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 00:00:00,DX-106,self,0,0,0,24,0,0,0,0,0,0,0,24,0.000000,0.000000,0.000000,0.000000,0,0,0,0
