app_id,shadow_cnt,live_cnt,diff
JHA-204,6020,8623,-2603
JHG-049,5094,3418,1676
JHA-027,6509,8175,-1666
JHA-031,2450,3738,-1288
JHG-028,2952,1990,962
JHG-001,5323,4366,957
DX-015,3027,3888,-861
JHG-038,2110,1272,838
JHA-056,2664,1838,826
JHG-029,1981,1255,726
JHA-063,2674,3306,-632
YC-001,6392,6968,-576
JHA-102,3121,3696,-575
JHA-017,3651,4204,-553
-,0,504,-504
JHA-069,2787,3206,-419
JHA-067,1621,2016,-395
YC-003,8497,8102,395
JHA-058,92,483,-391
JHG-021,1420,1095,325
JHA-502,1054,1371,-317
JHG-034,2793,2499,294
JHA-160,1330,1576,-246
JHG-036,518,321,197
JHA-124,3509,3681,-172
JHG-025,1128,967,161
DX-037,2438,2597,-159
HX-001,11444,11597,-153
JHA-205,1398,1548,-150
YC-159,1596,1741,-145
JHG-017,659,799,-140
YC-123,1385,1250,135
JHG-014,1438,1306,132
HX-021,2760,2648,112
JHA-066,602,707,-105
DX-118,803,704,99
JHA-110,908,1004,-96
JHG-022,1119,1025,94
JHG-052,4102,4011,91
JHG-004,1410,1500,-90
JHG-045,1225,1135,90
JHA-128,1217,1295,-78
JHG-037,1500,1430,70
DX-052,943,875,68
JHA-123,2102,2168,-66
JHG-006,2955,2893,62
YC-160,632,572,60
JHG-046,352,295,57
JHG-013,1885,1830,55
JHG-047,227,172,55
HX-018,1119,1065,54
DX-091,4510,4457,53
JHA-126,2724,2777,-53
JHA-157,1308,1360,-52
TJ-002,104,60,44
HX-002,1460,1503,-43
HX-016,639,596,43
JHG-043,530,487,43
JHA-103,1327,1367,-40
JHG-042,1464,1424,40
YC-169,2715,2675,40
JHG-016,3877,3838,39
DX-043,3122,3159,-37
JHG-050,363,328,35
YC-170,3759,3724,35
JHG-059,3275,3243,32
TSPX-035,152,120,32
DX-036,3298,3329,-31
HX-056,192,161,31
DX-002,1741,1711,30
JHG-080,1414,1386,28
JHG-003,70,44,26
DX-105,1863,1887,-24
TJ-040,48,24,24
TJ-046,48,24,24
TJ-054,48,24,24
JHG-005,3335,3312,23
JHG-024,542,519,23
HX-003,6211,6233,-22
TSPX-028,264,242,22
YC-002,12647,12625,22
JHG-064,3073,3052,21
SF-51,990,969,21
YC-164,560,541,19
JHA-076,299,281,18
JHG-020,146,128,18
JHG-069,101,83,18
YC-161,1250,1268,-18
DX-092,2470,2453,17
JHG-026,118,101,17
YC-122,2605,2589,16
DX-125,1609,1594,15
YC-121,3172,3187,-15
JHG-048,75,61,14
SF-84,477,463,14
TJ-039,38,24,14
TJ-063,63,49,14
YC-116,2825,2811,14
JHG-015,263,250,13
JHG-087,50,37,13
YC-108,984,971,13
DX-030,2730,2718,12
JHG-010,51,39,12
YC-155,376,364,12
DX-038,230,241,-11
DX-079,296,285,11
DX-126,1127,1116,11
YC-114,2079,2068,11
SF-50,2260,2250,10
YC-115,2696,2686,10
DX-007,1103,1094,9
SF-62,2196,2187,9
YC-107,1066,1057,9
YC-143,680,671,9
DX-055,1137,1145,-8
DX-087,284,276,8
DX-094,1362,1354,8
JHA-210,915,907,8
JHG-002,116,108,8
SF-20,1602,1594,8
SF-97,2096,2088,8
DX-093,860,853,7
JHA-117,1817,1824,-7
JHG-008,170,163,7
JHGXN-096,139,132,7
SF-36,1325,1318,7
SF-43,1854,1847,7
SF-74,1919,1912,7
TSPX-027,196,203,-7
YC-201,157,150,7
DFB-01,281,275,6
HX-017,89,95,-6
HX-035,1424,1430,-6
SF-10,227,221,6
SF-55,1347,1341,6
SF-61,1237,1231,6
SF-71,2588,2582,6
SF-98,1954,1948,6
TRFB-010,81,75,6
YC-149,1035,1029,6
YC-178,1453,1447,6
DX-001,522,527,-5
DX-004,309,304,5
HX-024,634,639,-5
JHG-055,25,20,5
JHG-082,1027,1022,5
SF-15,876,871,5
SF-42,3952,3947,5
WYYL-002,108,103,5
YC-152,390,385,5
YC-158,1831,1826,5
YC-171,836,831,5
DX-009,165,161,4
DX-013,77,73,4
JHG-027,73,69,4
JHG-058,3499,3495,4
SF-67,1288,1284,4
DX-010,266,263,3
DX-011,25,22,3
DX-025,169,166,3
HX-015,342,339,3
JHA-059,954,957,-3
JHG-078,33,30,3
JHG-091,599,596,3
JHG-092,1381,1378,3
SF-60,1136,1133,3
SF-72,2044,2041,3
SF-81,2673,2670,3
SF-93,802,799,3
SF-95,2021,2018,3
TRFB-008,140,143,-3
YC-141,57,54,3
DX-003,1243,1245,-2
DX-024,639,637,2
DX-033,185,187,-2
DX-051,22,20,2
DX-085,209,207,2
DX-115,60,58,2
DX-146,1830,1828,2
HX-006,123,125,-2
HX-009,2062,2064,-2
HX-010,78,80,-2
JHA-062,49,51,-2
JHA-089,129,131,-2
JHG-007,94,92,2
JHG-041,153,155,-2
JHG-060,3,1,2
JHG-061,121,119,2
SF-01,2587,2585,2
SF-104,2303,2301,2
SF-114,739,737,2
SF-134,1089,1087,2
SF-143,1998,1996,2
SF-162,1227,1225,2
SF-24,112,110,2
SF-52,953,951,2
SF-53,1606,1604,2
SF-54,1316,1314,2
SF-66,2565,2563,2
SF-89,772,770,2
SF-90,1038,1036,2
SF-94,1791,1789,2
SF-96,1671,1669,2
TJ-043,3,1,2
YC-187,22,20,2
YC-189,113,111,2
YDWD-001,1066,1064,2
YDWD-003,1429,1427,2
DX-006,0,1,-1
DX-026,307,308,-1
DX-027,2806,2805,1
DX-078,281,280,1
DX-106,313,312,1
DX-128,26,25,1
HX-011,48,49,-1
HX-013,65,66,-1
HX-022,173,174,-1
HX-026,425,426,-1
HX-030,58,59,-1
HX-032,51,52,-1
HX-036,59,60,-1
HX-038,48,49,-1
HX-039,47,48,-1
HX-040,38,39,-1
HX-046,65,66,-1
HX-047,1185,1184,1
HX-054,13,14,-1
HX-057,261,260,1
JHA-077,124,123,1
JHA-096,86,85,1
JHA-119,31,32,-1
JHA-129,291,290,1
JHA-207,337,338,-1
JHG-051,54,53,1
JHG-065,51,52,-1
JHG-070,1569,1568,1
SF-05,2145,2144,1
SF-07,444,443,1
SF-106,2071,2070,1
SF-117,1123,1122,1
SF-128,893,892,1
SF-131,1139,1140,-1
SF-149,26,25,1
SF-152,885,886,-1
SF-157,108,107,1
SF-161,43,42,1
SF-39,1253,1252,1
SF-57,2448,2447,1
SF-59,2037,2036,1
SF-65,2289,2288,1
SF-68,1348,1349,-1
SF-69,2611,2610,1
SF-75,909,908,1
SF-85,63,62,1
SF-86,64,63,1
SF-91,951,950,1
TJ-001,13,12,1
TJ-042,4,3,1
TSPX-005,462,461,1
TSPX-031,87,86,1
TSYH-007,4,5,-1
YC-109,1947,1946,1
YC-142,39,38,1
YC-162,48,47,1
YC-172,59,58,1
YC-202,94,93,1
YCXN-001,179,180,-1
!(()&&!|*|*|,1,1,0
""";print(md5(31337));$a=""",1,1,0
${10000241+9999110},1,1,0
${9999890+9999144},1,1,0
${@print(md5(31337))},1,1,0
${@print(md5(31337))}\\,1,1,0
"'""()",1,1,0
'.print(md5(31337)).',1,1,0
';print(md5(31337));$a=',1,1,0
"'{""",1,1,0
(select 198766*667891 from DUAL),1,1,0
(select 198766*667891),1,1,0
),1,1,0
../YC-002,1,1,0
/etc/shells,1,1,0
111,1,1,0
1E2C7GPY0,1,1,0
7nlKyZN9: 2abtTDH0,1,1,0
9T-2JQM,16,16,0
<!--,1,1,0
@@B0Jvh,1,1,0
@@EOP65,1,1,0
BASE-001,8,8,0
BF-004,5,5,0
BF-005,99,99,0
DFA-01,27,27,0
DFA-03,1147,1147,0
DFA-04,24,24,0
DX-005,5,5,0
DX-012,1,1,0
DX-031,8,8,0
DX-032,7,7,0
DX-042,257,257,0
DX-053,26,26,0
DX-056,1,1,0
DX-059,25,25,0
DX-060,22,22,0
DX-076,9,9,0
DX-084,2103,2103,0
DX-086,206,206,0
DX-095,9,9,0
DX-097,210,210,0
DX-098,48,48,0
DX-147,12,12,0
DX-151,89,89,0
FHL-5R8,24,24,0
HX-000,8,8,0
HX-004,43,43,0
HX-005,54,54,0
HX-007,32,32,0
HX-008,31,31,0
HX-012,39,39,0
HX-014,26,26,0
HX-019,40,40,0
HX-020,66,66,0
HX-023,49,49,0
HX-025,22,22,0
HX-027,89,89,0
HX-028,68,68,0
HX-029,35,35,0
HX-031,11,11,0
HX-034,34,34,0
HX-037,30,30,0
HX-042,18,18,0
HX-043,12,12,0
HX-044,6,6,0
HX-045,13,13,0
HX-048,32,32,0
HX-049,21,21,0
HX-050,67,67,0
HX-051,318,318,0
HX-055,1,1,0
HX-058,1,1,0
HX-059,1128,1128,0
HX-060,817,817,0
HX-065,25,25,0
HX-069,24,24,0
HX-070,30,30,0
HXXN-002,2,2,0
HttP://bxss.me/t/xss.html?%00,1,1,0
Http://bxss.me/t/fit.txt,1,1,0
JHA-030,51,51,0
JHA-055,42,42,0
JHA-060,209,209,0
JHA-065,36,36,0
JHA-068,88,88,0
JHA-071,41,41,0
JHA-078,191,191,0
JHA-082,49,49,0
JHA-098,2,2,0
JHA-1017,84,84,0
JHA-1028,1,1,0
JHA-1040,31,31,0
JHA-107,1,1,0
JHA-116,8,8,0
JHA-130,1,1,0
JHA-155,17,17,0
JHA-156,8,8,0
JHA-158,12,12,0
JHA-159,27,27,0
JHA-161,7,7,0
JHA-2003,1208,1208,0
JHA-201,4,4,0
JHA-202,23,23,0
JHA-203,32,32,0
JHA-206,10,10,0
JHA-208,13,13,0
JHA-501,11,11,0
JHA-505,219,219,0
JHG-012,16,16,0
JHG-018,30,30,0
JHG-019,6,6,0
JHG-039,5,5,0
JHG-040,15,15,0
JHG-053,2,2,0
JHG-054,1,1,0
JHG-056,29,29,0
JHG-057,20,20,0
JHG-072,24,24,0
JHG-081,3,3,0
JHG-083,4,4,0
JHG-090,104,104,0
JHG-101,34,34,0
JHG-110,39,39,0
JHGXN-106,11,11,0
JHGXN-112,2,2,0
JHGXN-115,20,20,0
JLYQ-002,141,141,0
JLYQXN-002,109,109,0
Q0uHMXCT: Ecwls6Z8,1,1,0
SC-01,2,2,0
SC-03,6,6,0
SC-04,30,30,0
SC-06,5,5,0
SC-10,2,2,0
SC-12,41,41,0
SC-19,7,7,0
SEO-002,87,87,0
SEO-003,95,95,0
SEO-004,50,50,0
SEO-005,33,33,0
SEO-006,36,36,0
SEO-007,19,19,0
SEO-008,2,2,0
SEO-010,17,17,0
SEO-011,7,7,0
SEO-012,14,14,0
SEO-013,35,35,0
SEO-016,2,2,0
SEO-017,39,39,0
SEO-020,44,44,0
SEO-021,16,16,0
SEO-025,24,24,0
SEO-026,24,24,0
SEO-027,36,36,0
SEO-029,46,46,0
SEO-036,11,11,0
SEO-037,9,9,0
SF-02,2350,2350,0
SF-06,202,202,0
SF-08,822,822,0
SF-105,39,39,0
SF-107,69,69,0
SF-109,14,14,0
SF-110,25,25,0
SF-112,302,302,0
SF-113,20,20,0
SF-115,8,8,0
SF-116,17,17,0
SF-120,93,93,0
SF-123,3,3,0
SF-124,792,792,0
SF-126,1467,1467,0
SF-127,14,14,0
SF-129,218,218,0
SF-132,76,76,0
SF-133,921,921,0
SF-137,941,941,0
SF-138,52,52,0
SF-139,8,8,0
SF-14,50,50,0
SF-142,38,38,0
SF-145,62,62,0
SF-146,29,29,0
SF-147,1,1,0
SF-148,4,4,0
SF-150,2,2,0
SF-151,14,14,0
SF-153,46,46,0
SF-158,567,567,0
SF-159,113,113,0
SF-160,505,505,0
SF-163,2,2,0
SF-164,31,31,0
SF-165,33,33,0
SF-166,6,6,0
SF-167,24,24,0
SF-168,24,24,0
SF-171,61,61,0
SF-179,47,47,0
SF-18,3,3,0
SF-189,54,54,0
SF-23,1,1,0
SF-25,12,12,0
SF-27,1208,1208,0
SF-28,3,3,0
SF-34,7,7,0
SF-37,134,134,0
SF-45,63,63,0
SF-46,40,40,0
SF-48,20,20,0
SF-58,2046,2046,0
SF-63,1881,1881,0
SF-73,10,10,0
SF-76,800,800,0
SF-77,36,36,0
SF-78,612,612,0
SF-79,1514,1514,0
SF-80,785,785,0
SF-82,9,9,0
SF-83,15,15,0
SF-87,2,2,0
SF-88,27,27,0
SF-92,823,823,0
SF-99,72,72,0
SF-991,24,24,0
SF-992,24,24,0
SF-997,24,24,0
TJ-004,1,1,0
TJ-075,22,22,0
TJ-109,24,24,0
TJ-111,24,24,0
TJ-112,16,16,0
TRFB-007,1146,1146,0
TRFB-009,5,5,0
TSPX-014,115,115,0
TSPX-029,7,7,0
TSYH-001,2685,2685,0
TSYH-003,8,8,0
TSYH-004,86,86,0
TSYH-008,2,2,0
TSYH-050,2278,2278,0
TSYH-051,285,285,0
WYYL-001,103,103,0
WYYL-102,17,17,0
WYYL-104,1,1,0
Wm9Sx1Z2,1,1,0
YC-002&n939892=v932593,1,1,0
YC-002&n985447=v975497,1,1,0
"YC-002'""",1,1,0
"YC-002'""%2527%2522\\'\\""",1,1,0
YC-0029874985,1,1,0
YC-0029875883,1,1,0
YC-002A,2,2,0
YC-106,509,509,0
YC-120,96,96,0
YC-129,20,20,0
YC-140,10,10,0
YC-145,11,11,0
YC-195,196,196,0
^(#$!@#$)(()))******,1,1,0
bxss.me,1,1,0
bxss.me/t/xss.html?%00,1,1,0
c:/windows/win.ini,1,1,0
com.qnmd.ajinm.fd0jbe,12,12,0
com.qnmd.ajinm.fl0jfa,1,1,0
com.qnmd.ajinm.kf0j3b,15,15,0
com.qnmd.ajinm.o0jo7,17,17,0
com.qnmd.ajinm.qs0joc,15,15,0
com.qnmd.ajinm.qz0j8q,16,16,0
com.qnmd.ajinm.xb0jym,20,20,0
com.qnmd.ajinm.xj0jrg,21,21,0
com.qnmd.ajinm.yd0jyl,8,8,0
expr 9000359721 - 951665,1,1,0
expr 9000787424 - 964559,1,1,0
file:///etc/passwd,1,1,0
http://bxss.me/t/fit.txt%3F.jpg,1,1,0
"if(now()=sysdate(),sleep(15),0)",1,1,0
response.write(9221214*9578131),1,1,0
response.write(9246873*9566549),1,1,0
smQGOWWU,1,1,0
