date_key,app_id,channel,s_deduction_download_num,l_deduction_download_num,s_deduction_new_user,l_deduction_new_user,s_deduction_recharge_amount,l_deduction_recharge_amount,s_deduction_install_num,l_deduction_install_num,s_download_num,l_download_num,s_new_user,l_new_user,s_recharge_amount,l_recharge_amount,s_coin_recharge_amount,l_coin_recharge_amount,s_install_num,l_install_num,s_pay_user_num,l_pay_user_num
2026-09-02 13:00:00,JHA-128,nrslhksi,0,10,9,9,0,0,0,0,0,10,9,9,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 04:00:00,JHA-063,tangxin7,0,8,2,2,0,0,2,2,0,8,5,5,0.000000,0.000000,0.000000,0.000000,2,2,0,0
2026-09-02 20:00:00,HX-001,fdjMkNQb,3,3,2,2,0,0,6,7,3,3,3,3,0.000000,0.000000,0.000000,0.000000,6,7,0,0
2026-09-02 10:00:00,JHA-204,NBP30W,0,1,1,1,0,0,1,1,0,1,1,1,0.000000,0.000000,0.000000,0.000000,1,1,0,0
2026-09-02 15:00:00,JHG-034,XEZt5aCU,0,0,1,1,0,0,4,5,0,0,5,5,0.000000,0.000000,0.000000,0.000000,4,5,0,0
2026-09-02 05:00:00,YC-001,e31mwytx,0,25,16,16,0,0,1,1,0,25,16,16,0.000000,0.000000,0.000000,0.000000,1,1,0,0
2026-09-02 10:00:00,HX-001,phgyc1003,1,1,1,1,0,0,5,6,1,1,2,2,0.000000,0.000000,0.000000,0.000000,5,6,0,0
2026-09-02 14:00:00,JHG-006,nbmyiiyb,7,10,2,2,0,0,3,3,7,10,4,4,0.000000,0.000000,0.000000,0.000000,3,3,0,0
2026-09-02 12:00:00,YC-001,e31mwytx,0,54,27,27,0,0,3,3,0,54,27,27,0.000000,0.000000,0.000000,0.000000,3,3,0,0
2026-09-02 02:00:00,JHA-128,nrslhksi,0,10,11,11,10000,10000,1,1,0,10,11,11,10000.000000,10000.000000,0.000000,0.000000,1,1,1,1
2026-09-02 13:00:00,HX-001,fdjMkNQb,3,3,0,0,0,0,3,4,3,3,2,2,0.000000,0.000000,0.000000,0.000000,3,4,0,0
2026-09-02 23:00:00,JHA-067,bQIdm7FM,0,1,5,5,0,0,3,3,0,1,5,5,0.000000,0.000000,0.000000,0.000000,3,3,0,0
2026-09-02 13:00:00,JHG-049,bk18j,0,0,0,0,0,0,2,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2,1,0,0
2026-09-02 01:00:00,JHG-006,nbmyiiyb,9,23,4,4,0,0,0,0,9,23,8,8,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 09:00:00,DX-092,ugpzcpt,4,4,5,4,0,0,6,6,4,4,5,4,0.000000,0.000000,0.000000,0.000000,6,6,0,0
2026-09-02 09:00:00,JHA-128,nrslhksi,0,4,5,5,0,0,0,0,0,4,5,5,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 23:00:00,SF-50,VJ2ZOT6L4A,0,0,3,3,0,0,6,7,0,0,4,4,0.000000,0.000000,0.000000,0.000000,6,7,0,0
2026-09-02 22:00:00,JHA-502,XIGAPPU1,0,1,0,0,0,0,2,3,0,1,0,0,0.000000,0.000000,0.000000,0.000000,2,3,0,0
2026-09-02 07:00:00,YC-001,e31mwytx,0,16,11,11,0,0,0,0,0,16,11,11,0.000000,0.000000,0.000000,0.000000,0,0,0,0
2026-09-02 22:00:00,JHA-067,bQIdm7FM,0,2,1,1,0,0,0,0,0,2,1,1,0.000000,0.000000,0.000000,0.000000,0,0,0,0
