app_id,shadow_cnt,live_cnt,diff
YC-001,1272,1204,68
YC-003,1077,1026,51
YC-002,1110,1075,35
JHG-001,479,451,28
YC-159,287,262,25
YC-121,483,462,21
YC-122,456,436,20
YC-123,344,327,17
DX-043,259,271,-12
YC-115,259,247,12
YC-116,284,272,12
YC-161,242,230,12
DX-030,440,430,10
YC-152,138,128,10
YC-169,326,316,10
YC-170,316,306,10
DX-002,202,211,-9
YC-108,135,126,9
YC-107,130,122,8
YC-164,110,102,8
DX-037,159,166,-7
JHG-034,273,266,7
JHG-036,50,43,7
JHG-049,534,527,7
JHG-058,467,460,7
YC-160,114,107,7
DX-011,15,21,-6
DX-015,268,262,6
JHG-028,208,202,6
JHG-052,460,454,6
JHG-005,362,357,5
JHG-021,187,182,5
JHG-042,106,101,5
JHG-059,409,404,5
YC-114,200,195,5
YC-143,102,97,5
YC-171,131,126,5
YC-201,85,80,5
JHG-014,155,151,4
JHG-025,156,152,4
JHG-037,276,272,4
JHG-046,49,45,4
JHG-082,80,76,4
DX-079,59,62,-3
YC-155,75,72,3
YC-189,32,29,3
DX-009,24,26,-2
DX-052,160,162,-2
DX-093,110,112,-2
DX-094,172,174,-2
DX-118,65,63,2
JHG-004,151,149,2
JHG-006,337,335,2
JHG-013,119,117,2
JHG-024,74,72,2
JHG-029,162,160,2
JHG-038,173,171,2
JHG-047,37,35,2
YC-142,12,10,2
YC-149,85,83,2
YC-156,21,19,2
DX-003,168,169,-1
DX-027,710,711,-1
DX-036,320,321,-1
DX-051,9,8,1
DX-053,13,14,-1
DX-055,183,184,-1
HX-001,905,906,-1
HX-002,249,250,-1
JHA-059,79,80,-1
JHA-102,272,271,1
JHA-103,190,191,-1
JHA-129,72,71,1
JHG-003,8,7,1
JHG-008,119,118,1
JHG-015,60,59,1
JHG-016,761,760,1
JHG-022,200,199,1
JHG-026,44,43,1
JHG-043,68,67,1
JHG-048,22,21,1
JHG-056,6,5,1
SF-24,83,82,1
TJ-001,4,3,1
TJ-006,2,1,1
TJ-062,0,1,-1
TJ-063,7,6,1
TJ-088,2,1,1
TRFB-009,3,2,1
TSPX-035,10,9,1
YC-141,45,44,1
YC-158,111,110,1
YC-172,43,42,1
YC-176,9,8,1
YC-178,101,100,1
YC-202,12,11,1
BF-004,1,1,0
BF-005,75,75,0
DFA-01,2,2,0
DFA-02,3,3,0
DFA-03,183,183,0
DFA-04,2,2,0
DFA-05,1,1,0
DFA-06,1,1,0
DFA-07,1,1,0
DFA-08,1,1,0
DFA-11,1,1,0
DFB-01,25,25,0
DX-001,75,75,0
DX-004,32,32,0
DX-005,11,11,0
DX-006,2,2,0
DX-007,111,111,0
DX-008,2,2,0
DX-010,31,31,0
DX-012,4,4,0
DX-013,8,8,0
DX-017,1,1,0
DX-021,1,1,0
DX-022,1,1,0
DX-024,74,74,0
DX-025,36,36,0
DX-026,18,18,0
DX-031,14,14,0
DX-033,30,30,0
DX-035,1,1,0
DX-038,56,56,0
DX-041,1,1,0
DX-042,54,54,0
DX-046,1,1,0
DX-047,1,1,0
DX-058,1,1,0
DX-059,14,14,0
DX-060,7,7,0
DX-061,1,1,0
DX-062,1,1,0
DX-064,1,1,0
DX-065,1,1,0
DX-066,1,1,0
DX-068,1,1,0
DX-069,1,1,0
DX-070,1,1,0
DX-073,1,1,0
DX-075,1,1,0
DX-076,2,2,0
DX-078,78,78,0
DX-082,13,13,0
DX-084,579,579,0
DX-085,41,41,0
DX-086,16,16,0
DX-087,18,18,0
DX-091,362,362,0
DX-092,217,217,0
DX-095,8,8,0
DX-096,13,13,0
DX-097,34,34,0
DX-098,22,22,0
DX-100,1,1,0
DX-101,1,1,0
DX-103,1,1,0
DX-104,1,1,0
DX-105,98,98,0
DX-106,33,33,0
DX-108,1,1,0
DX-112,1,1,0
DX-115,7,7,0
DX-125,90,90,0
DX-126,101,101,0
DX-127,1,1,0
DX-128,2,2,0
DX-140,1,1,0
DX-144,2,2,0
DX-145,2,2,0
DX-146,72,72,0
DX-147,3,3,0
DX-151,3,3,0
DX-152,1,1,0
DX-153,1,1,0
DX-161,1,1,0
DX-999,1,1,0
HX-003,524,524,0
HX-004,7,7,0
HX-005,9,9,0
HX-006,35,35,0
HX-007,16,16,0
HX-008,2,2,0
HX-009,264,264,0
