app_id,shadow_cnt,live_cnt,diff
HX-001,3322,9022,-5700
HX-003,1746,3664,-1918
YC-002,2040,3499,-1459
YC-159,771,1345,-574
JHG-049,1195,679,516
HX-021,932,1404,-472
YC-169,570,1025,-455
YC-001,2450,2874,-424
JHG-001,989,589,400
JHG-038,620,249,371
JHG-005,738,411,327
YC-121,730,1013,-283
JHG-028,627,354,273
DX-015,896,1167,-271
DX-030,729,999,-270
YC-106,274,12,262
JHG-021,563,328,235
JHA-056,625,399,226
YC-115,491,710,-219
YC-160,258,475,-217
YC-164,258,471,-213
HX-009,979,1185,-206
SF-81,599,402,197
SF-42,734,541,193
JHG-029,401,215,186
JHG-043,304,118,186
SF-50,723,542,181
JHG-024,333,158,175
JHA-157,1011,837,174
JHG-036,279,124,155
JHA-067,652,502,150
SF-104,498,351,147
JHG-047,195,51,144
YC-161,329,471,-142
JHA-069,1569,1428,141
JHG-014,415,281,134
HX-002,690,820,-130
YC-107,213,342,-129
JHG-025,327,201,126
YC-003,3168,3294,-126
SF-95,429,304,125
JHG-052,680,558,122
SF-66,681,570,111
HX-035,620,730,-110
JHG-002,124,18,106
SF-72,519,413,106
HX-006,138,242,-104
JHG-046,169,65,104
YC-114,426,526,-100
JHA-124,874,973,-99
JHA-103,505,603,-98
DX-091,773,676,97
JHG-058,672,576,96
YC-143,187,280,-93
JHG-013,451,359,92
JHG-034,558,466,92
JHG-037,393,305,88
YC-109,233,318,-85
DX-009,52,135,-83
SF-62,532,450,82
SF-63,469,388,81
HX-016,381,461,-80
SF-129,133,55,78
SF-89,324,249,75
JHG-027,103,31,72
SF-61,412,341,71
JHA-027,2952,3021,-69
JHA-123,639,708,-69
HX-017,136,201,-65
YC-108,224,289,-65
HX-018,468,532,-64
SF-68,379,315,64
SF-02,480,419,61
SF-69,498,438,60
JHG-006,556,497,59
SF-05,455,396,59
JHA-129,202,259,-57
JHG-004,283,226,57
SF-60,431,374,57
SF-71,588,534,54
HX-022,220,272,-52
JHG-042,220,168,52
HX-013,59,108,-49
YC-123,517,566,-49
JHA-017,1941,1989,-48
JHA-102,2140,2188,-48
SF-131,383,335,48
SF-158,158,112,46
SF-08,274,229,45
YC-155,204,249,-45
SF-57,603,560,43
SF-98,410,367,43
TRFB-009,1,44,-43
DFA-03,199,241,-42
SF-106,508,466,42
SF-120,86,44,42
DX-025,62,103,-41
JHG-012,55,14,41
SF-117,304,263,41
SF-128,266,225,41
SF-134,255,214,41
DX-026,103,143,-40
HX-015,391,430,-39
SF-127,48,9,39
SF-94,356,317,39
HX-036,52,90,-38
SF-36,389,351,38
JHA-031,740,777,-37
JHA-076,120,83,37
JHA-204,2226,2263,-37
SF-114,230,193,37
DX-105,301,337,-36
HX-026,201,237,-36
SF-142,51,15,36
DX-055,359,394,-35
SF-55,353,318,35
SF-43,498,464,34
SF-76,189,221,-32
YC-140,10,42,-32
JHG-059,526,495,31
JHG-040,44,14,30
SF-137,310,280,30
DX-032,52,23,29
SF-132,64,35,29
DX-037,636,664,-28
DX-038,284,256,28
YC-158,136,164,-28
HX-004,72,98,-26
JHG-008,99,73,26
SF-160,100,126,-26
DX-078,334,359,-25
SF-52,210,235,-25
JHA-210,189,213,-24
YC-189,31,55,-24
SF-80,217,194,23
HX-047,257,279,-22
JHG-050,138,116,22
SF-112,164,142,22
DX-008,13,34,-21
SF-162,234,255,-21
SF-85,39,18,21
YC-116,475,496,-21
HX-040,22,42,-20
DX-024,100,119,-19
DX-094,336,317,19
HX-032,53,72,-19
SF-124,237,218,19
TSPX-031,25,44,-19
SF-96,369,351,18
DX-002,791,808,-17
DX-027,1824,1841,-17
JHA-110,395,412,-17
SF-54,363,346,17
DX-052,343,359,-16
JHA-077,131,147,-16
SF-164,35,19,16
SF-97,372,388,-16
HX-024,329,344,-15
SF-157,59,44,15
SF-27,379,394,-15
SF-90,265,250,15
DX-084,2201,2187,14
HX-056,25,39,-14
JHA-062,35,49,-14
JHG-022,288,274,14
YC-162,16,30,-14
JHA-117,325,338,-13
YC-170,647,660,-13
DX-036,859,847,12
JHA-205,485,473,12
JHA-207,122,110,12
JHG-045,177,165,12
SF-159,35,23,12
SF-51,278,266,12
DX-001,269,280,-11
DX-079,275,286,-11
HX-007,28,39,-11
HX-027,78,89,-11
JHA-063,1272,1283,-11
JHG-007,41,30,11
SC-03,20,9,11
YC-145,15,26,-11
DX-007,328,338,-10
HX-030,35,45,-10
JHG-016,764,754,10
SF-143,321,311,10
SF-152,194,204,-10
SF-58,427,417,10
SF-92,181,171,10
DX-085,133,142,-9
HX-005,84,93,-9
HX-029,8,17,-9
HX-046,58,67,-9
JHA-126,694,703,-9
JHA-160,959,950,9
JHG-026,58,49,9
SF-126,254,263,-9
SF-165,22,13,9
SF-86,52,43,9
SF-88,29,20,9
YC-149,165,174,-9
DX-092,449,441,8
DX-093,255,263,-8
HX-023,46,54,-8
JHG-003,31,23,8
SC-12,23,15,8
SF-15,261,253,8
JHA-066,196,203,-7
JHA-082,41,48,-7
SC-06,21,14,7
SF-39,385,378,7
YC-122,788,795,-7
YC-172,203,210,-7
YC-178,251,258,-7
DX-006,95,101,-6
DX-118,93,87,6
HX-008,15,21,-6
JHA-059,431,437,-6
JHG-057,23,17,6
JHG-082,105,99,6
JHG-110,6,0,6
SF-133,244,238,6
SF-24,74,68,6
SF-79,352,358,-6
TJ-002,76,70,6
DX-042,153,148,5
DX-053,55,60,-5
HX-012,8,13,-5
JHA-089,85,90,-5
JHA-119,28,33,-5
JHG-055,21,16,5
JHG-070,138,143,-5
JHG-092,100,95,5
SF-01,490,485,5
SF-06,51,46,5
SF-07,165,160,5
