app_id,shadow_cnt,live_cnt,diff
YC-002,17286,34793,-17507
HX-001,25443,38892,-13449
JHG-049,14220,7917,6303
JHG-001,11975,7391,4584
HX-003,14129,18670,-4541
YC-159,3441,7706,-4265
DX-030,4636,8891,-4255
YC-001,16343,19926,-3583
YC-169,3603,6954,-3351
JHG-038,4877,2150,2727
JHA-204,16546,14004,2542
YC-121,4307,6778,-2471
JHG-028,5845,3799,2046
JHA-056,5926,4071,1855
HX-021,6749,8434,-1685
JHG-005,6419,4813,1606
JHA-157,7258,5716,1542
JHG-029,3856,2377,1479
HX-009,6749,8197,-1448
SF-42,5980,4562,1418
YC-115,4583,5959,-1376
YC-164,968,2265,-1297
JHG-021,4315,3066,1249
SF-81,4796,3549,1247
YC-107,1526,2772,-1246
YC-160,1040,2232,-1192
YC-109,2403,3589,-1186
DX-015,5855,7039,-1184
YC-161,1900,3060,-1160
YC-114,4391,5508,-1117
SF-58,3330,4366,-1036
HX-002,2866,3889,-1023
SF-59,3068,4033,-965
JHG-036,1730,797,933
SF-97,3147,4048,-901
JHG-024,1841,945,896
JHA-067,3656,2770,886
JHG-043,1614,728,886
SF-43,3052,3913,-861
JHA-027,16887,17742,-855
HX-035,3830,4666,-836
SF-27,1925,2739,-814
SF-162,2225,3033,-808
JHG-037,3523,2723,800
SF-94,2737,3504,-767
SF-95,3187,2429,758
SF-74,3090,3830,-740
SF-57,3785,4517,-732
SF-55,2146,2858,-712
SF-20,2366,3073,-707
JHA-103,2681,3381,-700
JHA-017,10476,11173,-697
SF-79,2342,3038,-696
SF-39,2002,2692,-690
SF-90,1835,2523,-688
SF-137,1760,2446,-686
JHG-052,8157,7476,681
SF-126,2104,2781,-677
YC-143,1188,1834,-646
SF-50,5230,4594,636
HX-018,2943,3567,-624
SF-71,4148,4768,-620
JHG-058,7371,6754,617
JHA-069,10235,9621,614
SF-01,3601,4206,-605
SF-65,3455,4047,-592
JHG-002,697,108,589
SF-66,4564,5153,-589
SF-96,2641,3221,-580
SF-152,1637,2214,-577
SF-15,1367,1941,-574
SF-104,3474,2913,561
HX-024,1762,2321,-559
SF-36,2137,2693,-556
DX-026,498,1043,-545
JHA-076,962,418,544
SF-52,1396,1921,-525
SF-67,1877,2370,-493
SF-53,2317,2801,-484
HX-016,2381,2862,-481
SF-106,3519,3994,-475
TSYH-050,2677,3150,-473
YC-155,1207,1677,-470
YC-123,2606,3059,-453
SF-76,1274,1723,-449
JHG-014,2472,2028,444
SF-51,1616,2059,-443
YC-108,3365,3806,-441
YC-106,534,109,425
SF-54,1918,2326,-408
SF-69,4382,4789,-407
SF-75,1663,2068,-405
SF-143,3199,3596,-397
SF-02,4117,3722,395
JHG-047,646,252,394
SF-128,1573,1953,-380
HX-006,556,934,-378
SF-98,3197,3570,-373
SF-92,1358,1727,-369
JHG-025,1853,1487,366
HX-015,1489,1853,-364
JHA-124,6127,6490,-363
SF-68,2742,3101,-359
JHG-046,760,405,355
SF-60,2146,2494,-348
SF-91,1401,1749,-348
DX-009,328,672,-344
SF-63,2917,3256,-339
DX-025,301,633,-332
JHA-063,7953,8284,-331
SF-131,2537,2866,-329
DX-091,8235,7912,323
SF-89,1553,1876,-323
SF-124,1359,1680,-321
DX-027,6375,6694,-319
SF-133,1606,1922,-316
JHG-004,2477,2171,306
SF-160,743,1048,-305
SF-80,1214,1513,-299
DX-036,6128,6424,-296
JHA-102,13015,13309,-294
SF-72,3413,3705,-292
DFA-03,1506,1796,-290
DX-037,4727,5015,-288
SF-93,1232,1510,-278
YC-158,2081,2359,-278
YC-116,5667,5941,-274
HX-017,314,587,-273
HX-022,692,963,-271
JHG-027,415,146,269
SF-117,2421,2679,-258
JHA-123,4628,4879,-251
JHG-064,4276,4527,-251
DX-078,1249,1485,-236
JHG-022,2776,2550,226
DX-105,2406,2624,-218
YC-003,26798,27004,-206
YC-122,5829,6031,-202
JHG-034,6441,6243,198
SF-129,514,316,198
DX-042,824,1017,-193
DX-055,2221,2413,-192
SF-78,989,1165,-176
YC-140,65,234,-169
JHA-129,758,923,-165
DX-002,4842,5006,-164
HX-013,141,304,-163
TRFB-009,11,174,-163
YC-189,220,381,-161
JHA-205,2898,2739,159
DX-085,950,1108,-158
JHA-031,5222,5065,157
YC-170,6756,6899,-143
JHG-059,6576,6436,140
DX-032,250,114,136
JHG-016,7090,7226,-136
JHG-008,353,221,132
SF-08,1389,1521,-132
DX-043,4476,4606,-130
DX-084,8805,8929,-124
JHG-045,2130,2008,122
HX-047,3028,3146,-118
JHA-110,1831,1943,-112
DX-024,841,937,-96
YC-171,2794,2699,95
JHG-006,5839,5933,-94
HX-026,1565,1657,-92
HX-027,256,347,-91
HX-036,107,196,-89
JHG-070,1779,1868,-89
DX-079,1560,1648,-88
JHG-012,149,61,88
DX-092,4045,4132,-87
DX-093,1559,1646,-87
JHG-042,2891,2805,86
SF-132,249,163,86
JHA-117,2371,2454,-83
HX-032,122,204,-82
TJ-002,601,521,80
SF-05,3614,3692,-78
JHG-040,138,61,77
HX-004,209,285,-76
YC-145,103,179,-76
DX-118,1190,1115,75
SF-62,3778,3853,-75
YC-149,1793,1866,-73
JHA-207,689,617,72
SF-127,137,65,72
DX-007,2537,2608,-71
YC-178,2760,2828,-68
SF-158,1014,1081,-67
JHA-077,463,528,-65
SF-61,2109,2172,-63
JHA-160,5698,5759,-61
SF-112,620,680,-60
SF-142,129,71,58
SF-120,288,234,54
JHA-126,4791,4843,-52
DX-031,201,250,-49
HX-010,149,198,-49
SF-164,140,91,49
YC-162,95,144,-49
SF-134,1931,1978,-47
DX-001,1545,1590,-45
JHA-059,2379,2422,-43
DX-052,1950,1991,-41
JHG-026,226,185,41
SEO-004,149,108,41
SF-171,103,144,-41
SF-179,56,97,-41
HX-007,86,126,-40
HX-008,50,90,-40
DX-126,1675,1714,-39
JHG-050,420,381,39
JHG-110,39,0,39
YC-201,248,287,-39
JHG-092,1898,1860,38
YC-142,69,107,-38
JHA-210,1138,1175,-37
DX-008,38,73,-35
JHA-089,269,304,-35
DX-006,270,303,-33
DX-086,430,463,-33
HX-023,101,134,-33
HX-040,68,101,-33
SC-12,170,137,33
JHA-062,92,124,-32
JHG-017,830,862,-32
HX-046,133,164,-31
SF-159,188,157,31
