dt,app_id,channel,cnt,amt_yuan
2026-06-20,JHA-502,organic,23,3900
2026-06-20,JHG-024,xhaa023,20,2300
2026-06-20,DX-032,organic,10,1050
2026-06-20,JHA-502,RSNB14,9,1300
2026-06-20,SF-78,KF4JYA5F,8,260
2026-06-20,JHA-502,ZRJS20706,8,1350
2026-06-20,JHG-024,pzhz,6,950
2026-06-20,JHG-024,qzmfcpnt,6,700
2026-06-20,JHG-024,haiou,4,400
2026-06-20,JHG-024,qzffcpnt,4,250
2026-06-20,JHG-024,yyyvvv,4,700
2026-06-20,JHG-024,ffcpxtcxhp,4,800
2026-06-20,JHA-502,gqKbq4ho,3,700
2026-06-20,JHA-502,ZRJA23105,3,700
2026-06-20,JHG-024,organic,3,150
2026-06-20,JHG-024,huang02,3,450
2026-06-20,JHG-024,114dhang,3,200
2026-06-20,JHG-024,xfv01,3,150
2026-06-20,JHG-024,fense,2,150
2026-06-20,JHG-024,hp,2,250
2026-06-20,JHG-024,mdnt,2,500
2026-06-20,JHG-024,hp382,2,300
2026-06-20,JHA-502,EyFY9spw,2,250
2026-06-20,JHG-024,tvrbpzoc,2,400
2026-06-20,JHG-024,gds0102,2,100
2026-06-20,JHA-502,ALW01,2,300
2026-06-20,JHG-024,huang04,2,100
2026-06-20,JHA-502,SHIDI001,2,400
2026-06-20,JHG-024,cld,2,200
2026-06-20,JHA-502,6H9zbUXY,2,300
