老 dw 有、new dw 无 · event 清单
日期: 2026-07-15 (prod)
口径: event_id 不在 dw_user_event_detail_new (dt=07-15/07-16)
合计缺失: 650,777,389 行 · 67 个 event 有缺失 · 11 个 event 全量已在 new

event	missing_cnt
advertising	317836716
page_lifecycle	129609469
page_click	61485829
ad_impression	51375723
video_event	47444375
comic_event	20250749
app_page_view	7407164
keyword_click	4751077
navigation	4144215
recommend_list_view	1925188
keyword_search	1136670
user_login	787789
ad_click	785297
app_lifecycle	653727
user_register	342643
recommend_list_click	209889
sdk_init	157646
novel_event	123006
app_install	71766
app_session_summary	53706
video_status_change	52129
network_state_change	34702
video_collect	24798
landing_page_view	23039
landing_page_click	13671
content_impression	13304
video_share	11142
realtime_online	9214
coin_consume	8743
comic_collect	8612
preview_popup_exposure	4841
video_like	4463
preview_popup_close	3719
ad_fill	1810
comic_like	1489
app_pageitem_exposure	1162
order_created	1138
ad_request	990
core_consume	890
ad_error	704
-	696
video_purchase	642
ad_load_success	641
novel_collect	626
video_comment	443
order_paid	262
deep_consume	191
preview_popup_unlock_click	152
ad_no_fill	76
week_card_upgrade_popup_exposure	71
app_error	67
comic_comment	62
novel_purchase	58
ad_close	45
comic_purchase	38
week_card_upgrade_popup_close	29
new_user_week_card_paid	24
app_pageitem_click	16
video_view	14
preview_popup_view_rights_click	11
security_risk	7
novel_like	6
ad_click_sdk	3
week_card_upgrade_click	2
content_comment	1
order_pay_success	1
order_create	1
