app_code,app_name,dt,new_reg,nature_reg,nature_pct_7d,new_reg_7d,nature_reg_7d,portfolio_nature_share_7d_pct
SEO-018,51动漫,2026-08-12,40528,40528,100.00,241933,241933,30.75
SEO-016,凡客tv,2026-08-12,20860,20855,99.99,276317,276292,35.12
SEO-002,樱花动漫,2026-08-12,27165,25928,95.45,174304,111309,14.15
SEO-003,禁漫天堂,2026-08-12,12569,10737,85.42,80386,46450,5.90
TSYH-001,91红果,2026-08-12,32167,4294,13.35,254484,51562,6.55
TSYH-050,爱奇淫,2026-08-12,12398,366,2.95,107581,749,0.10
TSPX-005,疾云加速器,2026-08-12,4769,2785,58.40,30604,17756,2.26
TSPX-035,爱啪啪,2026-08-12,2219,0,0.00,35488,0,0.00
TSYH-051,同映,2026-08-12,2128,64,3.01,13172,587,0.07
SEO-004,午夜影院,2026-08-12,2046,1074,52.49,13494,4070,0.52
SEO-015,午夜影院,2026-08-12,1967,1966,99.95,13160,13159,1.67
SEO-020,抖漫,2026-08-12,1593,145,9.10,9879,656,0.08
TSPX-027,91快看,2026-08-12,1454,19,1.31,25481,244,0.03
SEO-013,小涩漫,2026-08-12,1204,439,36.46,7289,1624,0.21
SEO-009,禁忌短剧,2026-08-12,1155,1155,100.00,9090,9090,1.16
SEO-017,囧次元,2026-08-12,954,141,14.78,5728,430,0.05
SEO-027,樱花视频,2026-08-12,789,135,17.11,5863,559,0.07
SEO-007,人人视频,2026-08-12,717,31,4.32,5445,180,0.02
SEO-026,91动漫,2026-08-12,681,39,5.73,3849,124,0.02
SEO-005,瘾播剧场,2026-08-12,665,294,44.21,4452,1168,0.15
SEO-010,黑瓜社,2026-08-12,638,80,12.54,4685,395,0.05
TSYH-004,Happy AI,2026-08-12,636,636,100.00,4245,4245,0.54
SEO-006,Blued,2026-08-12,626,353,56.39,4715,1514,0.19
SEO-025,91视频,2026-08-12,621,48,7.73,4430,210,0.03
SEO-012,OnlylyHub,2026-08-12,487,85,17.45,3402,446,0.06
SEO-008,茶杯狐,2026-08-12,405,185,45.68,2463,612,0.08
SEO-011,YuriGap,2026-08-12,361,26,7.20,2735,165,0.02
TSPX-031,涩先生,2026-08-12,266,51,19.17,4566,386,0.05
SEO-021,秋霞影院,2026-08-12,107,15,14.02,641,51,0.01
TSPX-028,18+,2026-08-12,76,32,42.11,425,214,0.03
TSPX-029,红果TV,2026-08-12,48,26,54.17,339,204,0.03
TSYH-006,小魅魔,2026-08-12,6,6,100.00,79,76,0.01
TSYH-005,水蜜桃,2026-08-12,5,5,100.00,64,61,0.01
TSYH-002,SEEAV,2026-08-12,3,0,0.00,53,0,0.00
SEO-029,小黄书,2026-08-12,2,2,100.00,129,129,0.02
TSYH-003,看AV,2026-08-12,1,0,0.00,4,0,0.00
TSYH-007,涩漫蛙,2026-08-12,1,0,0.00,7,5,0.00
TSPX-030,涩番茄,2026-08-12,0,0,,8,8,0.00
SEO-001,17吃瓜,2026-08-12,0,0,,1,0,0.00
SEO-014,51漫画,2026-08-12,0,0,,0,0,0.00
SEO-019,黑料不打烊,2026-08-12,0,0,,4,3,0.00
SEO-022,51视频,2026-08-12,0,0,,0,0,0.00
SEO-023,漫蛙,2026-08-12,0,0,,1,1,0.00
SEO-024,风车动漫,2026-08-12,0,0,,0,0,0.00
SEO-028,基咔,2026-08-12,0,0,,0,0,0.00
SEO-030,缪斯X,2026-08-12,0,0,,0,0,0.00
TSPX-002,逐风浏览器,2026-08-12,0,0,,3,3,0.00
TSPX-033,97吃瓜,2026-08-12,0,0,,1,1,0.00
